title,author,length
83. Don't Believe Everything You Think,By: Joseph Nguyen,Length: 2 hrs and 16 mins
84. Camino Ghosts,By: John Grisham,Length: 10 hrs and 17 mins
85. He Who Fights with Monsters 11: A LitRPG Adventure,"By: Shirtaloon, Travis Deverell",Length: 28 hrs and 36 mins
86. Demon Copperhead,By: Barbara Kingsolver,Length: 21 hrs and 3 mins
87. Ember,"By: Brian Andrews, Jeffrey Wilson",Length: 13 hrs and 57 mins
88. 12 Rules for Life,"By: Jordan B. Peterson, Norman Doidge MD",Length: 15 hrs and 40 mins
89. Mind Games,By: Nora Roberts,Length: 14 hrs and 52 mins
90. How to Talk to Anyone,By: Leil Lowndes,Length: 8 hrs and 59 mins
91. The Frozen River,By: Ariel Lawhon,Length: 15 hrs and 5 mins
92. Tom Lake,By: Ann Patchett,Length: 11 hrs and 22 mins
93. The Courage to Be Disliked,"By: Ichiro Kishimi, Fumitake Koga",Length: 6 hrs and 29 mins
"94. Harry Potter and the Prisoner of Azkaban, Book 3",By: J.K. Rowling,Length: 11 hrs and 49 mins
95. The Seven Husbands of Evelyn Hugo,By: Taylor Jenkins Reid,Length: 12 hrs and 10 mins
96. When the Moon Hatched,By: Sarah A. Parker,Length: 20 hrs and 12 mins
97. The Chronicles of Narnia Complete Audio Collection,By: C. S. Lewis,Length: 33 hrs and 45 mins
98. Service Model,By: Adrian Tchaikovsky,Length: 12 hrs and 21 mins
99. Home Is Where the Bodies Are,By: Jeneva Rose,Length: 8 hrs and 27 mins
100. When the Night Comes Falling,By: Howard Blum,Length: 5 hrs and 43 mins
